SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AVG_NOTE
116946,False,Cash loans,M,N,Y,0,112500.0,675000.0,21906.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-16893,-2024,-4495.0,-429,,True,True,False,True,True,False,Security staff,2.0,2,2,SATURDAY,9,False,False,False,False,False,False,Business Entity Type 3,0.5477471461893454,0.2974305732549437,0.3123653692278984,0.0825,0.0809,0.9771,0.6872,0.0,0.0,0.1379,0.1667,0.2083,0.0189,0.0672,0.0636,0.0,0.0,0.084,0.0839,0.9772,0.6994,0.0,0.0,0.1379,0.1667,0.2083,0.0193,0.0735,0.0663,0.0,0.0,0.0833,0.0809,0.9771,0.6914,0.0,0.0,0.1379,0.1667,0.2083,0.0192,0.0684,0.0648,0.0,0.0,reg oper account,block of flats,0.0611,"Stone, brick",No,0.0,0.0,0.0,0.0,-372.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.3858476962240625
156440,True,Cash loans,F,N,Y,1,90000.0,254700.0,20250.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.018029,-8245,-1084,-3050.0,-909,,True,True,False,True,False,False,Cooking staff,2.0,3,3,MONDAY,10,False,False,False,False,False,False,Kindergarten,0.208299570366549,0.4691858252385467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-642.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,0.33874269780254784
234130,False,Cash loans,M,Y,N,0,180000.0,497520.0,33376.5,450000.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.01885,-12575,-3787,-766.0,-4341,64.0,True,True,True,True,True,False,Managers,1.0,2,2,WEDNESDAY,10,False,False,False,False,False,False,Other,0.6288751501798799,0.6246688263720274,0.6263042766749393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,0.0,-768.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,2.0,0.6266160844089489
192281,False,Cash loans,M,N,Y,0,225000.0,509400.0,31162.5,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.072508,-15408,365243,-9209.0,-5421,,True,False,False,True,True,True,,2.0,1,1,SATURDAY,15,False,False,False,False,False,False,XNA,0.1445192406963915,0.7429443944460664,0.6817058776720116,0.2227,0.1426,0.9796,0.7212,0.2992,0.16,0.2069,0.5417,0.5833,0.0,0.1799,0.2073,0.0077,0.0068,0.2269,0.148,0.9796,0.7321,0.3019,0.1611,0.2069,0.5417,0.5833,0.0,0.1965,0.216,0.0078,0.0072,0.2248,0.1426,0.9796,0.7249,0.3011,0.16,0.2069,0.5417,0.5833,0.0,0.183,0.211,0.0078,0.0069999999999999,reg oper account,block of flats,0.099,Panel,No,0.0,0.0,0.0,0.0,-765.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,5.0,0.5230565042714899
405284,True,Revolving loans,F,N,Y,2,112500.0,247500.0,12375.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-8313,-699,-3174.0,-49,,True,True,False,True,False,False,,4.0,2,2,MONDAY,10,False,False,False,False,False,False,Transport: type 4,,0.0280284838373732,0.027110331289959,0.1577,0.0837,0.9896,0.8572,0.0632,0.2,0.1724,0.375,0.4167,0.0719,0.1286,0.2218,0.0,0.0,0.1607,0.0868,0.9896,0.8628,0.0638,0.2014,0.1724,0.375,0.4167,0.0736,0.1405,0.2311,0.0,0.0,0.1593,0.0837,0.9896,0.8591,0.0636,0.2,0.1724,0.375,0.4167,0.0732,0.1308,0.2258,0.0,0.0,reg oper spec account,block of flats,0.1675,"Stone, brick",No,0.0,0.0,0.0,0.0,-38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.027569407563666097
368007,True,Cash loans,M,Y,N,2,90000.0,231097.5,18387.0,175500.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.0096569999999999,-9112,-1101,-3584.0,-838,28.0,True,True,False,True,False,False,Laborers,4.0,2,2,TUESDAY,12,False,False,False,False,False,False,Self-employed,0.3763790880780917,0.4040909209054462,0.4329616670974407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.4044772253603262
184574,False,Cash loans,F,Y,Y,1,180000.0,630000.0,26613.0,630000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006305,-11164,-860,-3245.0,-3385,7.0,True,True,True,True,False,False,,3.0,3,3,SATURDAY,7,False,False,False,False,False,False,Government,,0.4245917033243008,0.3656165070113335,0.0742,0.0599,0.9886,0.8436,,0.08,0.069,0.3333,0.0417,0.0331,0.0605,0.0793,,,0.0756,0.0622,0.9886,0.8497,,0.0806,0.069,0.3333,0.0417,0.0339,0.0661,0.0826,,,0.0749,0.0599,0.9886,0.8457,,0.08,0.069,0.3333,0.0417,0.0337,0.0616,0.0807,,,reg oper spec account,block of flats,0.0727,Panel,No,0.0,0.0,0.0,0.0,-313.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.39510410516781713
137128,False,Revolving loans,F,Y,N,1,153000.0,450000.0,22500.0,450000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.020246,-11650,-2421,-2500.0,-4104,2.0,True,True,False,True,False,False,,2.0,3,3,WEDNESDAY,9,False,False,False,False,False,False,Business Entity Type 3,0.7617297074592845,0.4420034008818125,0.4578995512067301,0.1206,0.1323,0.9762,0.6736,0.0175,0.0,0.2759,0.1667,0.2083,0.0893,0.0983,0.1121,0.0039,0.0077,0.1229,0.1373,0.9762,0.6864,0.0177,0.0,0.2759,0.1667,0.2083,0.0913,0.1074,0.1168,0.0039,0.0082,0.1218,0.1323,0.9762,0.6779999999999999,0.0177,0.0,0.2759,0.1667,0.2083,0.0908,0.1,0.1141,0.0039,0.0079,reg oper spec account,block of flats,0.0994,Panel,No,0.0,0.0,0.0,0.0,-2927.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.553877553182609
216596,True,Cash loans,F,N,N,2,135000.0,254700.0,20119.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-10353,-1127,-3963.0,-3039,,True,True,False,True,False,False,Laborers,4.0,2,2,TUESDAY,10,False,False,False,False,True,True,Industry: type 3,,0.2346258565736386,0.3077366963789207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-179.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,5.0,0.27118127647627965
327029,True,Cash loans,F,N,Y,0,76500.0,772686.0,22720.5,553500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14877,-1174,-7292.0,-4214,,True,True,False,True,False,False,Sales staff,2.0,2,2,MONDAY,15,False,False,False,False,False,False,Self-employed,,0.2622583692422573,0.5262949398096192,0.068,0.0199,0.9742,0.6464,0.0121,0.0,0.1379,0.125,0.1667,0.0548,0.0538,0.0503,0.0077,0.0125,0.0693,0.0206,0.9742,0.6602,0.0122,0.0,0.1379,0.125,0.1667,0.0561,0.0588,0.0524,0.0078,0.0132,0.0687,0.0199,0.9742,0.6511,0.0122,0.0,0.1379,0.125,0.1667,0.0558,0.0547,0.0512,0.0078,0.0128,reg oper account,block of flats,0.0489,"Stone, brick",No,0.0,0.0,0.0,0.0,-2462.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.39427665452593824
446600,True,Cash loans,M,Y,N,0,180000.0,211500.0,23994.0,211500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.015221,-12589,-1001,-1632.0,-1656,11.0,True,True,False,True,False,False,Laborers,2.0,2,2,TUESDAY,8,False,True,True,False,True,True,Construction,,0.3248305785295504,0.7544061731797895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-847.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,4.0,0.53961837585467
375073,True,Cash loans,M,Y,Y,2,135000.0,592560.0,31153.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.003069,-15561,-951,-1600.0,-2304,15.0,True,True,False,True,False,False,High skill tech staff,4.0,3,3,SATURDAY,16,False,False,False,False,False,False,Other,,0.6191155494312557,0.7801436381572275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-591.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.6996295937942416
344232,True,Cash loans,M,N,Y,0,166500.0,152820.0,16587.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.004849,-17416,-839,-3693.0,-959,,True,True,False,True,False,False,Low-skill Laborers,2.0,2,2,TUESDAY,11,False,False,False,False,False,False,Business Entity Type 3,,0.1301677613171543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,0.1301677613171543
396319,True,Cash loans,F,N,N,0,180000.0,728460.0,43506.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.035792,-10511,-500,-4255.0,-3171,,True,True,False,True,False,False,Sales staff,2.0,2,2,THURSDAY,13,False,False,False,True,True,False,Trade: type 2,,0.3945083964271193,0.4241303111942548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,2.0,0.40931935381068707
200385,False,Cash loans,M,Y,Y,1,126000.0,894766.5,29700.0,679500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329,-17106,-9521,-5637.0,-658,15.0,True,True,False,True,False,False,Laborers,3.0,2,2,FRIDAY,9,False,False,False,False,False,False,Electricity,0.2803542781465425,0.6056310064774251,0.7958031328748403,0.1206,0.0968,0.9757,0.6668,0.0115,0.0,0.2069,0.1667,0.2083,0.0682,0.0958,0.0899,0.0116,0.0171,0.1229,0.1005,0.9757,0.6798,0.0116,0.0,0.2069,0.1667,0.2083,0.0698,0.1047,0.0937,0.0117,0.0181,0.1218,0.0968,0.9757,0.6713,0.0116,0.0,0.2069,0.1667,0.2083,0.0694,0.0975,0.0915,0.0116,0.0175,reg oper account,block of flats,0.0744,"Stone, brick",No,5.0,2.0,5.0,2.0,-1503.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5605961391662693
